release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-12-18,Finally Rich,Chief Keef,#27,,"1,961,873,868",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_18/Chief%20Keef-%20Finally%20Rich.jpg,https://open.spotify.com/album/2B4y3j02ho6XNF8BEzx3JF,https://music.apple.com/us/album/finally-rich/1440818106?i=1440819255
2025-12-18,Trouble Man: Heavy Is the Head,T.I.,#2,Gold,"172,117,687",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_18/Trouble%20Man_%20Heavy%20Is%20the%20Head.jpg,https://open.spotify.com/album/5X46pZekTY2dsWuZDpm14m,https://music.apple.com/us/album/trouble-man-heavy-is-the-head-deluxe-version/1437479694
2025-12-18,The Trinity,The Lox,#141,,"2,297,190",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_18/The_Trinity.jpg,https://open.spotify.com/album/5Wxp60a2MVESErt4JfD0In,https://music.apple.com/us/album/the-trinity-2nd-sermon-ep/935504599
2025-12-18,1800 Seconds Vol.2: Curated by Future,Various artists,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_18/1800%20Seconds%20Vol.2_%20Curated%20by%20Future.jpg,https://open.spotify.com/album/7f3eSk0XKyPoxh2OfpEEmh,https://music.apple.com/us/album/1800-seconds-vol-2-curated-by-future/1490969178
2025-12-19,"Nas & Ill Will Records Presents QB's Finest",Ill Will Records,#53,,,"https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_19/Nas%20&%20Ill%20Will%20Records%20Presents%20QB's%20Finest.jpg",https://open.spotify.com/album/5k5sTMloKm2hXD725RH3CY,https://music.apple.com/us/album/nas-ill-will-records-presents-queensbridge-the-album/169752238
2025-12-19,Lights Out,Lil Wayne,#16,Gold,"12,468,909",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_19/Lights%20Out.jpg,https://open.spotify.com/album/2nOW4KIsrMnoL4hJZRODKl,https://music.apple.com/us/album/lights-out/1444139018
2025-12-19,Tha Last Meal,Snoop Dogg,#9,Platinum,"127,918,217",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_19/Tha%20Last%20Meal.jpg,https://open.spotify.com/album/71VPCdeQQs1dmyVbflhPjX,https://music.apple.com/us/album/tha-last-meal/724894487
2025-12-19,Hip Hop Is Dead,Nas,#1,Gold,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_19/Hip%20Hop%20Is%20Dead.jpg,https://open.spotify.com/album/7K9OYfaZ4IYGjZes0tRzuv,https://music.apple.com/us/album/hip-hop-is-dead-expanded-edition/1436741729
2025-12-19,The Interlude II,The Kid Daytona,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_19/The%20Interlude%20II.jpg,https://open.spotify.com/album/2Y6BjMgONH1pI5svhkBbrG,https://music.apple.com/us/album/the-interlude-2/1210544537
2025-12-19,Raging Bull,D-Sisive & Tone Mason,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_19/Raging%20Bull.jpg,,
2025-12-19,Throughout Time,Drastiko and K-Rino,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_19/Throughout%20Time.jpg,https://open.spotify.com/album/0E276c4OVRvYpUfVrtviZj,https://music.apple.com/us/album/throughout-time/1357356083
2025-12-19,Next Wednesday,Chris Webby,,,"198,436,147",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_19/Next%20Wednesday.jpg,https://open.spotify.com/album/2rWJjEyiy0QTDxj5evEuKd,https://music.apple.com/us/album/next-wednesday/1665456903
2025-12-20,Purple Haze 2,"Cam'ron",#180,,"107,573,853",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_20/Camron_Purple_Haze_2.png,https://open.spotify.com/album/2yxDtBWH8KdOI2cQTkQ4Tr,https://music.apple.com/us/album/purple-haze/1440755441
2025-12-20,Wednesday,Chris Webby,,,"80,053",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_20/Chris%20Webby-%20Wednesday.jpg,https://open.spotify.com/album/0hIgt9h9ZAfNFVcYzSG7CQ,https://music.apple.com/us/album/wednesday/1665466920
2025-12-20,The Dreamer/The Believer,Common,#18,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_20/the-believer.jpg,https://open.spotify.com/album/5c9j3RyT9M5F3ZNKB97FpF,https://music.apple.com/us/album/the-dreamer-the-believer/484275413
2025-12-20,"Back at Burnie's",Curren$y,,,"32,785,875","https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_20/Curren$y-%20Back%20at%20Burnie's.jpg",https://open.spotify.com/album/2sWApfoBIZpXEYPFCeIiBn,https://music.apple.com/us/album/back-at-burnies/1491575116
2025-12-20,I Am Atlanta 3,Gorilla Zoe,,,"9,182,900",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_20/I%20Am%20Atlanta%203.jpg,https://open.spotify.com/album/3iTyQJ7GdwajTq8Mufvtfe,https://music.apple.com/us/album/i-am-atlanta-3/410946127
2025-12-20,East Atlanta Santa 3,Gucci Mane,#68,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_20/East%20Atlanta%20Santa%203.jpg,https://open.spotify.com/album/41Mzki3Yox73btDc51evLi,https://music.apple.com/us/album/east-atlanta-santa-3/1491975286
2025-12-20,The Equilibrium EP,Kasland,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_20/The%20Equilibrium%20EP.jpg,,https://music.apple.com/us/album/equilibrium-ep/1585217442
2025-12-20,L.A.D.,La the Darkman,,,,,,
2025-12-20,Zoom,Noah23,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_20/Noah23-%20Zoom.jpg,https://open.spotify.com/album/0nbYEjwN98bCqGK55pZOkN,https://music.apple.com/us/album/zoom/618194765
