release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-06-20,Big Baller,MC Breed,#143,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_20/MC%20Breed-%20Big%20Baller.jpg,,https://music.apple.com/in/album/big-baller/205983417
2025-06-20,Deadly Groundz,5th Ward Juvenilez,#200,,"922,563",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_20/Deadly_Groundz.jpg,https://open.spotify.com/track/04iBQfPNuK3YbA76SEtZdA?si=73524da29cf14ce3,https://music.apple.com/in/album/deadly-groundz/1183281499?i=1183281710
2025-06-20,"Da' Miilkrate",Miilkbone,,,"14,572,881",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_20/Da_Miilkcrate.jpg,https://open.spotify.com/album/1Jn5kZ3o9n0ItgRPLA226C?si=WsFn1hE6SZ2A1oDDFDF7vQ,https://music.apple.com/in/album/da-miilkrate/1708580499
2025-06-20,Anarchy,Busta Rhymes,#4,Platinum,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_20/Bustabuss-anarchy.jpg,https://open.spotify.com/album/2lIZst69wS2xmePqhCvLRo?si=SgDexOcQS8ya4M36OdnwsA,https://music.apple.com/in/album/anarchy/300970406
2025-06-20,Deep Conversation,Celly Cel,,,"139,657",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_20/Celly%20Cel-%20Deep%20Conversation.jpg,https://open.spotify.com/album/1basnP626ziEm9EQfrh5aQ?si=q-074z9UQZOx15cNr1gVRQ,https://music.apple.com/in/album/deep-conversation/332897002
2025-06-20,Quality Control,Jurassic 5,#43,,"53,955,052",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_20/Jurassic%205%20-%20Quality%20Control.jpg,https://open.spotify.com/track/3C41w4YPDCfGuxzQNjvk8O?si=ce78ddfe536d4de7,https://music.apple.com/in/album/quality-control/1673109195?i=1673109875
2025-06-20,"N' My Neighborhood",MC Eiht,#95,,"476,914","https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_20/N'_My_Neighborhood.jpg",https://open.spotify.com/album/7hUR8FDukEuXaDHNdkXPqZ?si=XcFt5flPQdSIw1Q7WuxHuQ,https://music.apple.com/in/album/n-my-neighborhood/713761404
2025-06-20,Merry-Go-Round,Delinquent Habits,,,"95,206,767",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_20/Merry_Go_Round_(Delinquent_Habits_album).jpg,https://open.spotify.com/track/7eySUriiIi89QlAMaZuI2p?si=fd0322c226604cba,https://music.apple.com/in/album/merry-go-round/1469574486?i=1469575157
2025-06-21,In Full Gear,Stetsasonic,,,"13,982,748",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/Stetsasonic-%20In%20Full%20Gear.jpeg,https://open.spotify.com/track/6oIPsHzkDhyMfa1kEAPHED?si=e3d9b86a9f76419b,https://music.apple.com/in/album/in-full-gear/1604620725?i=1604620726
2025-06-21,Street Level,The Beatnuts,#182,,"11,977,685",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/The_Beatnuts_-_Street_Level_album_cover.jpg,https://open.spotify.com/album/1n2buVQqk1PzvR3YsCZdmn?si=XKrRmlusQ8eAH2dEYhHMVA,https://music.apple.com/in/album/street-level/1363890872
2025-06-21,"Creepin' on ah Come Up",Bone Thugs-n-Harmony,#12,Platinum,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/Creepin_on_ah_come_up.jpg,https://open.spotify.com/track/76vkF03OHdhMOnvXEVXN0x?si=d082bdd2ad0f41f9,https://music.apple.com/in/album/creepin-on-ah-come-up/1168167073?i=1168167345
2025-06-21,Wegonefunkwichamind,Big Mello,,,"793,972",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/Big_Mello_-_Wegonefunkwichamind.jpg,https://open.spotify.com/album/24SSVOeNuQgIUiFuqBof6n?si=6zYZ7t_qR5axOlX7rdhsPg,https://music.apple.com/in/album/wegonefunkwichamind/706820016
2025-06-21,Chemistry,9th Wonder & Buckshot,,,"2,220,369",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/Chemistry_album_cover.jpg,https://open.spotify.com/album/48vwepf78Ei9G3h4jzZ6CY?si=whEssHfZQJO-F75rwxo-ag,
2025-06-21,Southmatic,B.o.B,#1,Platinum,"3,496,521",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/B.o.B-Southmatic.jpg,https://open.spotify.com/artist/49BVWHeuFMH0qBigkb5Q?si=EKKM2VDT7qb0zcdnu9gQA?,
2025-06-21,Delusions of Grandeur,Gucci Mane,#7,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/Gucci_Mane_-_Delusions_of_Grandeur.png,https://open.spotify.com/artist/2FDyYcU1NTU7bF?si=3euEK-F5SYu7dpzQfts_HGA?,https://music.apple.com/artist/delusions-of-del/1469274197
2025-06-21,Wavy 2 Kritical,K Camp,#175,,"205,280,716",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/K%20Camp-%20Wavy%202%20Kritical.jpg,https://open.spotify.com/artist/6Z8SfenVdQWyZ9iBFk2?si=M5Njkq0f5QzmxmxV-LQz3mA,
2025-06-21,7,Lil Nas X,#2,Platinum,"3,921,013,320",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/Lil_Nas_X_7_.jpg,https://open.spotify.com/artist/4IRiXE5N/A?si=zeeNLiEkQ92mDz5xDVnRPw,https://music.apple.com/artist/7/1468166325
2025-06-21,The One,Trina,#126,,"10,409,190",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/Trina-the-one.png,https://open.spotify.com/artist/4NTuwAi626dN0pL9E0?si=c4HHzM5eTiyUV-zQ2zme1Q,https://music.apple.com/artist/the-one/1501766839
2025-06-21,Recovery,Eminem,#1,Platinum,"5,078,934,332",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/Recovery_Album_Cover.jpg,https://open.spotify.com/artist/47nIFcncVZzC3pb2s5VSkb?si=AGwZnMRoSG,https://music.apple.com/in/artist/recovery/1446625834
2025-06-21,How I Got Over,The Roots,#6,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/The-Roots-How-I-Got-Over-Album-Cover.jpg,https://open.spotify.com/track/51wZnbnsURQ9QzC4Vsb8e?si=4f262b2cf2ce941,https://music.apple.com/in/artist/how-i-got-over/15
2025-06-21,The Hierophant,Casual,,,"101,318",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/Casual-%20The%20Hierophant.jpg,https://open.spotify.com/album/5IGZtRZyO5PLhu82bDBOwT?si=X8L4vHrNR1GSaQgh-QW7nw,https://music.apple.com/in/album/the-hierophant/447442840
2025-06-21,Together/Apart,Grieves,#106,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/Grieves_Together_Apart_official_album_art_2011.jpg,https://open.spotify.com/album/3C4e1ENKmoEc9h5KtUZxJ0?si=xSCLH7vZQXa1xJZtxDbXQA,https://music.apple.com/in/album/together-apart-deluxe-edition/1558194262
2025-06-21,Kontraband,Messy Marv,,,"259,680",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/Messy%20Marv-%20Kontraband.jpeg,https://open.spotify.com/album/3g0sVEX6CbYCY7KSAiYrGG?si=6nwd3pHDS-aTFQ1TfNz8jA,https://music.apple.com/in/album/kontraband/442661128
2025-06-21,Planet Pit,Pitbull,#7,Gold,"3,168,359,677",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/Pitbull_Planet_Pit_Official_Album_Cover.jpg,https://open.spotify.com/album/3K3wPSsFq3jt0tgZXerYma?si=7hZ8iepIReC2Iz0wt-4s7g,https://music.apple.com/in/album/planet-pit/440723052
2025-06-21,Rhymes And Resin,Potluck,,,"7,869,914",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_21/Potluck-%20Rhymes%20And%20Resin.jpg,https://open.spotify.com/album/2v9Z09oS1Dz16V4u0ah0lZ?si=r9Z7cQMyRye9GjsMbIEStQ,https://music.apple.com/in/album/rhymes-and-resin/435663650
2025-06-22,Think Free,Freeway,,,"2,901,735",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/Think_Free_by_Freeway.png,https://open.spotify.com/album/30RpjN8k8DVsHDwh00ZAKS?si=rrSYsTmjR0-Eno2fvhEoqA,https://music.apple.com/in/album/think-free/1399357501
2025-06-22,Freddie,Freddie Gibbs,,,"275,614,178",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/Freddie_(Freddie_Gibbs_album)_Album_Cover.jpg,,https://music.apple.com/in/album/freddie/1400525431
2025-06-22,The Bridge and the Abyss,Jedi Mind Tricks,#43,,"12,600,038",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/BridgeAndAbyss.jpg,https://open.spotify.com/album/6EToH3CGIwlrBCPRHLOyHK?si=Y3Lr-XN6S_WF_2kJ3LPRUQ,https://music.apple.com/in/album/the-bridge-and-the-abyss/1380788612
2025-06-22,"Less Talk, More Hustle",Red Café,#2,Gold,"8,387,383","https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/Red%20Cafe%20Less%20Talk,%20More%20Hustle.jpeg",https://open.spotify.com/album/7rSgW10URnpA1hcUXAvKW9?si=OsEc346eSP2lo7iHQSsRiA,https://music.apple.com/in/album/less-talk-more-hustle/1404087432
2025-06-22,Active,Gunplay,,,"1,705,888",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/Gunplay-%20Active.jpeg,https://open.spotify.com/album/3zCNNixMP1mwFDBroaROAm?si=docYiQ7ZRI-Ve3JCtRAc5g,https://music.apple.com/in/album/active/1378473266
2025-06-22,2.0,TK Kravitz,,,"101,174,285",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/TK%20Kravitz-2.0.jpg,https://open.spotify.com/album/3zTN3hhVzNr1xr6bulWF97?si=IkT2jDORQc27qEo_M1c8Rw,https://music.apple.com/in/album/2-0/1399573489
2025-06-22,Supreme Blientele,Westside Gunn,#29,,"35,034,410",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/Westside_Gunn_Supreme_Blientele.png,https://open.spotify.com/album/3Gw4yIgDnowAhFjkFxFV8v?si=PoEcE6NWS7KPZFGocWq0-A,https://music.apple.com/in/album/supreme-blientele/1399303327
2025-06-22,"Ain't No Other",MC Lyte,#90,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/Aint_No_other.jpg,https://open.spotify.com/track/5HK5NQKiiJ05zuQmYMTIEc?si=111154d6509448ec,https://music.apple.com/in/album/aint-no-other/265696694
2025-06-22,Tragedy: Saga of a Hoodlum,Intelligent Hoodlum,,,"1,246,765",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/Intelligent%20Hoodlum-%20Tragedy_%20Saga%20of%20a%20Hoodlum.jpg,https://open.spotify.com/album/2k5Ksh0jJSYJG34xXUxC4L?si=YEFN814iSMSl0ZWNQ26xfQ,https://music.apple.com/in/album/tragedy-saga-of-a-hoodlum/1444377884
2025-06-22,A2G EP,Blackalicious,,,"42,539,027",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/Blackalicious-%20A2G%20EP.jpeg,https://open.spotify.com/album/1CcWqYQy7DjrPlLvgDnH3k?si=lgcC_5oYSkyuvUQpHlq-wA,https://music.apple.com/in/album/a2g-ep/36631709
2025-06-22,Da Real World,Missy Elliott,#122,Platinum,"72,276,026",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/Missy%20Elliott-%20Da%20Real%20World.jpeg,https://open.spotify.com/album/47QQsqlgvkxme4jrh5QQ4i?si=KC5JuPCnSHm-iqpafCT0XA,https://music.apple.com/in/album/da-real-world/303049710
2025-06-22,Manchild,Shyheim,#141,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/Shyheim-%20Manchild.jpg,https://open.spotify.com/album/4JPaMZYOBEg5Yzq68vZvIp?si=f8jk9l2OTOO9RlzGTBvu4g,https://music.apple.com/in/album/manchild/288108374
2025-06-22,"Chilltown, New York",Erick Sermon,#61,,"1,154,298","https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/Chilltown,_NY_Cover.jpg",https://open.spotify.com/album/3anJPXWlf5JSxuH8ko2ja6?si=I_PMfdSbQuqezxLlHAXK1Q,https://music.apple.com/in/album/chilltown-new-york/1451893058
2025-06-22,Kiss of Death,Jadakiss,#1,Gold,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/Kiss-of-death.jpg,https://open.spotify.com/track/5vnxlRCuiR1fzi4t8V1Qt9?si=92c42865458d4b0d,https://music.apple.com/in/album/kiss-of-death/1440745394
2025-06-22,The Undeniable LP,Phat Kat,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/The_Undeniable_LP.jpg,https://open.spotify.com/album/2L6XtBzZH8kznqYVXA2m8g?si=ly0perqWS2GZ0sWLXx_5wA,
2025-06-22,Gang Rags,Blaze Ya Dead Homie,#133,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/GangRags.jpg,https://open.spotify.com/artist/2EVZm5mZQZjr2ps5VmoUdU?si=QUbCAsWERPWz0kNcllr,https://music.apple.com/in/artist/gang-rags/1556896040
2025-06-22,Season of the Assassin,Vinnie Paz,#25,,"128,473,232",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_22/Vinnie%20Paz-%20Season%20of%20the%20Assassin.jpg,https://open.spotify.com/artist/1ZB3z2v2Fjbt9fPZwP91eI?si=4tQnnZ6qSKOobuK-SxIA,https://music.apple.com/in/artist/season/1355230192
