release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-11-05,1957,Soul-Junk,,,"30,014",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_5/Soul-Junk-%201957.jpg,,https://music.apple.com/us/album/1957/874911912
2025-11-05,Supreme Clientele (Special Edition),Ghostface Killah,,,"917,146",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_5/Ghostface%20Killah-Supreme%20Clientele.jpg,https://open.spotify.com/album/7eaQqVyq6xzAVgsxSzSP83,https://music.apple.com/us/album/supreme-clientele/190401592
2025-11-05,The Marshall Mathers LP 2,Eminem,#1,Platinum,"173,030,629",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_5/The_Marshall_Mathers_LP_2.png,https://open.spotify.com/album/3vOgbDjgsZBAPwV2M3bNOj,https://music.apple.com/us/album/the-marshall-mathers-lp2/1440858761
2025-11-05,For You Pretty Things,Ghettosocks,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_5/Ghettosocks-For%20You%20Pretty%20Things.jpg,https://open.spotify.com/album/7FBWpGJui8BJ0Mnyl5dDMI,https://music.apple.com/us/album/for-you-pretty-things/1311016152
2025-11-05,The Second Album,Latyrx,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_5/Latyrx-The%20Second%20Album.jpg,https://open.spotify.com/album/5tQohahCNnHAqTCjGCdbpK,https://music.apple.com/us/album/the-second-album/703040114
2025-11-05,Crimes Against Totality,Sole,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_5/Sole-Crimes%20Against%20Totality.jpg,https://open.spotify.com/album/5w5VC6tQk2XqA2I3HISpoo,https://music.apple.com/us/album/crimes-against-totality/743009768
2025-11-05,Therapy,Tech N9ne,#32,,"2,103,286",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_5/Tech%20N9ne-Therapy.jpg,https://open.spotify.com/album/3P9mZtuYd2yGiE5z0tobNj,https://music.apple.com/us/album/therapy-sessions-with-ross-robinson/721084219
2025-11-05,The Trinity 2nd Sermon,The Lox,#148,,"1,855,106",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_5/The%20Lox-The%20Trinity%202nd%20Sermon.jpg,https://open.spotify.com/album/5Wxp60a2MVESErt4JfD0In,https://music.apple.com/us/album/the-trinity-2nd-sermon-ep/935504599
2025-11-05,SoftwareUpdate1.0,Bones,,,"49,743,720",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_5/Bones-%20SoftwareUpdate1.0.jpg,https://open.spotify.com/album/2WhGsTJnaUYVlhHbf8AULP,https://music.apple.com/us/album/softwareupdate1-0/1447553872
2025-11-06,N.W.A. and the Posse,N.W.A,,Gold,"53,336,044",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_6/N.W.A-%20N.W.A.%20and%20the%20Posse.jpg,https://open.spotify.com/album/5fPat8IjkbKuwk27MTQIWy,https://music.apple.com/us/album/n-w-a-and-the-posse/1440826297
2025-11-06,Together Forever: Greatest Hits 1983-1991,Run-D.M.C.,#199,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_6/Together%20Forever_%20Greatest%20Hits%201983-1991.jpg,,
2025-11-06,Party Music,The Coup,,,"192,140",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_6/The%20Coup-%20Party%20Music.jpg,https://open.spotify.com/search/The%20Coup%2F%20Party%20Music,https://music.apple.com/us/album/party-music/1485046528
2025-11-06,Platinum in da Ghetto,"Lil' Keke",,,,"https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_6/Lil'%20Keke-%20Platinum%20in%20da%20Ghetto.jpg",https://open.spotify.com/album/2f8h9Pt2CkQKw2KxYnLamA,https://music.apple.com/us/album/platinum-in-da-ghetto/1774134701
2025-11-06,Trigeration Station,Mitchy Slick,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_6/Mitchy%20Slick-%20Trigeration%20Station.jpg,https://open.spotify.com/album/6gG60hKrSZdiAJPwyR9xev,https://music.apple.com/us/album/trigeration-station/305203734
2025-11-06,Novakane,Outlawz,#99,,"3,070,850",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_6/Outlawz-Novakane.jpg,https://open.spotify.com/album/4abqyA45GTkbOgxPMUABHF,https://music.apple.com/us/album/novakane/338683126
2025-11-06,Diary of a Sinner: 1st Entry,Petey Pablo,#25,Gold,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_6/Diary%20of%20a%20Sinner_%201st%20Entry.jpg,https://open.spotify.com/album/5HRSHdifYk7QXStjKB0SJZ,https://music.apple.com/us/album/diary-of-a-sinner-1st-entry/304790804
2025-11-06,Wormholes,The R.O.C.,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_6/Wormholes.jpg,https://open.spotify.com/album/6Uxg2hYM3EL4u7pJG1AH9U,https://music.apple.com/us/album/wormholes-ep/1491794473
2025-11-06,B.A.R.S. The Barry Adrian Reese Story,Cassidy,,,"46,151,961",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_6/B.A.R.S.%20The%20Barry%20Adrian%20Reese%20Story.jpg,,
2025-11-06,American Gangster,JAY-Z,,,"3,485,209",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_6/Jay-Z_-_American_Gangster.png,https://open.spotify.com/album/6JlAOzNEYuPBZHf1iTs5kT,https://music.apple.com/us/album/american-gangster/1440835945
2025-11-06,History: Function Music,E-40 & Too Short,#62,,"7,542,770",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_6/History_Function%20Music.jpg,https://open.spotify.com/search/E-40%20%26%20Too%20Short%2F%20History%3A%20Function%20Music,https://music.apple.com/us/album/history-function-music/1738947516
2025-11-06,The Good Life,JR & PH7,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_6/JR%20&%20PH7-%20The%20Good%20Life.jpg,https://open.spotify.com/album/5b4auH0UvoAXxma7As1utx,https://music.apple.com/us/album/the-good-life/1422388821
2025-11-06,Fizzyology,"Lil' Fame & Termanology",,,"17,174,348","https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_6/Lil'%20Fame%20&%20Termanology-%20Fizzyology.jpg",https://open.spotify.com/album/67yIaYOJQaLCHhJAiJJRHb,https://music.apple.com/us/album/lil-fame-termanology-fizzyology/1513026273
