release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-10-09,Martin Lucid Dream,Denmark Vessey,,,"752,891",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/Denmark%20Vessey-Martin%20Lucid%20Dream.jpg,https://open.spotify.com/album/0lnlQusT9bxz8fuaMgLWvZ,https://music.apple.com/us/album/martin-lucid-dream/1045756461
2025-10-09,Hu$band EP,Father,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/Father-%20Hu$band%20EP.jpg,https://open.spotify.com/album/2DyBV06ZmHYRkiVEP2z5R6,https://music.apple.com/ug/album/hu%24band-ep/1482326946
2025-10-09,Live In Brooklyn,Jay-Z,#35,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/LiveInBrooklyn.jpg,,https://music.apple.com/ca/album/live-in-brooklyn/1440523967
2025-10-09,The Heist,Macklemore & Ryan Lewis,#2,Gold,"5,629,843,590",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/Macklemore%20&%20Ryan%20Lewis-%20The%20Heist.jpg,https://open.spotify.com/album/76FXHQhTuT4QMIxfL09gX8,https://music.apple.com/gb/album/the-heist/560097246
2025-10-09,Numbers,MellowHype,#54,,"24,777,348",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/Numbers.jpg,https://open.spotify.com/album/13zS18xkaZrOUf2HGWLYQj,https://music.apple.com/us/album/numbers/562443919
2025-10-09,Lace Up,MGK,#4,Gold,"505,543,384",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/MGK-LaceUp.jpg,https://open.spotify.com/album/3FobDdWUPqbetP5fLV8LJg,https://music.apple.com/us/album/lace-up/1440884188
2025-10-09,"West Coast Bad Boyz, Vol. 3: Poppin' Collars",No Limit Records,#108,,"3,188,729",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/West%20Coast%20Bad%20Boyz.jpg,,
2025-10-09,The Devil Made Me Do It,Paris,#158,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/Paris_-_The_Devil_Made_Me_Do_It.jpg,https://open.spotify.com/album/2OcD7CzRIGld2SbEnpeCzG,https://music.apple.com/us/song/the-devil-made-me-do-it/126269712
2025-10-09,Belly in Full 2,Project Pat & Nasty Mane,,,"130,772",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/Belly%20in%20Full%202.jpg,https://open.spotify.com/album/55yOObE2to5v7yDPlY8BbN,https://music.apple.com/us/album/belly-on-full-2/561341986
2025-10-09,Black Ink,Prozak,#97,,"12,443,403",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/Prozak-%20Black%20Ink.jpg,https://open.spotify.com/album/5eyWpgeM9US3L12Vc1qOJS,https://music.apple.com/us/album/black-ink/1036765003
2025-10-09,What Dreams Are Made Of,R. City,#25,,"1,262,496,667",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/R.%20City-%20What%20Dreams%20Are%20Made%20Of.jpg,https://open.spotify.com/album/4AUTMNSP56xicSznzKgzjB,https://music.apple.com/us/album/what-dreams-are-made-of/1031371160
2025-10-09,"I'm Serious",T.I.,#98,,"16,290,371","https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/T.I.-%20I'm%20Serious.jpg",https://open.spotify.com/album/0KKo9KfKSsewezQ6Iyh7Ww,https://music.apple.com/us/album/im-serious/255376337
2025-10-09,The Documentary 2,The Game,#2,,"267,121,281",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/The%20Game-%20The%20Documentary%202.jpg,https://open.spotify.com/album/6uQi7sMUciyWBT5alp1V2Y,https://music.apple.com/us/album/the-documentary-2/1050845369
2025-10-09,Napalm,Xzibit,#150,,"8,325,420",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/Xzibit-Napalm.jpg,https://open.spotify.com/album/2EMqQv8fbI5CbeuAasf2ILC,https://music.apple.com/us/album/napalm/714759217
2025-10-09,Travel at Your Own Pace,Y Society,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_9/Y%20Society-Travel%20at%20Your%20Own%20Pace.jpg,,
2025-10-10,Doe or Die,AZ,#15,,"82,487,896",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_10/Doe%20or%20Die.jpg,https://open.spotify.com/album/4wPNy4oz3tDjY3OEeHiOVq,https://music.apple.com/us/album/doe-or-die/724052211
